id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
24,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,0,ORANG,2014
25,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,20532,ORANG,2014
26,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,1455789,ORANG,2014
27,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,200,ORANG,2014
28,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,43432,ORANG,2014
29,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,0,ORANG,2014
30,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,7364,ORANG,2014
31,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,0,ORANG,2014
32,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,0,ORANG,2014
33,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,1,ORANG,2014
34,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,28231,ORANG,2014
35,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,0,ORANG,2014
36,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,178764,ORANG,2014
37,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,135,ORANG,2014
38,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,10776,ORANG,2014
39,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,0,ORANG,2014
40,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,0,ORANG,2014
41,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,0,ORANG,2014
42,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,13096,ORANG,2014
43,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,0,ORANG,2014
44,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,0,ORANG,2014
45,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,0,ORANG,2014
46,32,JAWA BARAT,3276,KOTA DEPOK,NUSANTARA,0,ORANG,2014
47,32,JAWA BARAT,3277,KOTA CIMAHI,MANCANEGARA,0,ORANG,2014
48,32,JAWA BARAT,3277,KOTA CIMAHI,NUSANTARA,0,ORANG,2014
49,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MANCANEGARA,0,ORANG,2014
50,32,JAWA BARAT,3278,KOTA TASIKMALAYA,NUSANTARA,33420,ORANG,2014
51,32,JAWA BARAT,3279,KOTA BANJAR,MANCANEGARA,11,ORANG,2014
52,32,JAWA BARAT,3279,KOTA BANJAR,NUSANTARA,114849,ORANG,2014
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,MANCANEGARA,0,ORANG,2015
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,NUSANTARA,0,ORANG,2015
55,32,JAWA BARAT,3202,KABUPATEN SUKABUMI ,MANCANEGARA,2849,ORANG,2015
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI ,NUSANTARA,111947,ORANG,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,0,ORANG,2015
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,0,ORANG,2015
59,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,0,ORANG,2015
60,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,0,ORANG,2015
61,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,0,ORANG,2015
62,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,43000,ORANG,2015
63,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,0,ORANG,2015
64,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,0,ORANG,2015
65,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,2139,ORANG,2015
66,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,65463,ORANG,2015
67,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,0,ORANG,2015
68,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,0,ORANG,2015
69,32,JAWA BARAT,3209,KABUPATEN CIREBON ,MANCANEGARA,0,ORANG,2015
70,32,JAWA BARAT,3209,KABUPATEN CIREBON ,NUSANTARA,0,ORANG,2015
71,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,2,ORANG,2015
72,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,120266,ORANG,2015
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,0,ORANG,2015
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,0,ORANG,2015
75,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,0,ORANG,2015
76,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,0,ORANG,2015
77,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,20532,ORANG,2015
